Date(UTC),Hs(ft),TP(s),Dp(deg),Ta(s),SST(F)
1/16/2019 12:58,4.66,11.76,45,7.59,47.8
1/16/2019 12:28,4.92,12.5,58,7.95,47.8
1/16/2019 11:58,4.89,12.5,42,8.04,47.8
1/16/2019 11:28,4.95,12.5,47,7.92,48
1/16/2019 10:58,5.18,12.5,42,8.15,48
1/16/2019 10:28,4.72,12.5,37,7.99,48
1/16/2019 9:58,5.45,12.5,49,8.45,48
1/16/2019 9:28,4.92,12.5,41,7.99,48
1/16/2019 8:58,5.38,11.76,42,8.57,48
1/16/2019 8:28,4.92,12.5,47,8.49,48
1/16/2019 7:58,5.38,11.11,44,8.73,48
1/16/2019 7:28,5.35,12.5,41,8.47,48
1/16/2019 6:58,5.71,11.76,42,8.53,48
1/16/2019 6:28,6.04,12.5,48,8.76,48
1/16/2019 5:58,5.51,11.76,47,8.3,48
1/16/2019 5:28,5.81,12.5,40,8.27,48
1/16/2019 4:58,5.45,11.76,47,7.97,48
1/16/2019 4:28,5.97,12.5,44,8.03,48
1/16/2019 3:58,5.61,11.76,42,7.51,48
1/16/2019 3:28,6.23,11.76,44,8.1,48
1/16/2019 2:58,6.69,11.76,55,8.16,48
1/16/2019 2:28,6.3,11.11,49,8.02,48
1/16/2019 1:58,6.33,11.76,37,8.06,48
1/16/2019 1:28,6.46,11.11,41,7.92,48
1/16/2019 0:58,6.59,11.11,34,8.05,48
1/16/2019 0:28,6.46,11.76,42,8.01,48
1/15/2019 23:58,6.46,11.76,51,7.97,48
1/15/2019 23:28,6.79,11.11,54,7.96,48
1/15/2019 22:58,7.12,11.11,41,8.01,48
1/15/2019 22:28,6.3,11.11,33,7.28,48
1/15/2019 21:58,7.15,11.76,58,7.81,48
1/15/2019 21:28,6.86,11.11,58,7.47,48
1/15/2019 20:58,7.35,11.76,55,7.72,48.2
1/15/2019 20:28,7.19,12.5,52,7.73,48.4
1/15/2019 19:58,7.05,11.76,49,7.59,48.4
1/15/2019 19:28,6.89,11.76,55,7.35,48.4
1/15/2019 18:58,7.12,11.76,40,7.57,48.4
1/15/2019 18:28,8.01,12.5,41,8.28,48.4
1/15/2019 17:58,8.14,12.5,51,8.09,48.2
1/15/2019 17:28,8.04,12.5,52,7.8,48.2
1/15/2019 16:58,8.37,12.5,41,8.09,48.2
1/15/2019 16:28,7.32,13.33,52,7.55,48
1/15/2019 15:58,8.1,12.5,66,8.03,48
1/15/2019 15:28,8.6,12.5,54,8.5,48
1/15/2019 14:58,8.17,11.76,40,8.07,48
1/15/2019 14:28,8.79,11.76,51,8.47,48
1/15/2019 13:58,8.23,11.76,44,8.18,48
1/15/2019 13:28,9.02,11.76,54,8.4,48
1/15/2019 12:58,8.56,11.11,42,8.24,48
1/15/2019 12:28,9.45,12.5,49,8.66,47.8
1/15/2019 11:58,9.25,11.76,61,8.81,47.7
1/15/2019 11:28,10.07,12.5,59,9.17,47.7
1/15/2019 10:58,10.5,11.76,55,9.06,47.7
1/15/2019 10:28,9.68,12.5,59,9.12,47.7
1/15/2019 9:58,9.51,12.5,65,8.77,48.6
1/15/2019 9:28,9.51,12.5,64,8.24,48.9
1/15/2019 8:58,10.4,11.11,45,8.7,48.9
1/15/2019 8:28,10.56,12.5,65,8.8,49.3
1/15/2019 7:58,10.04,12.5,65,8.64,49.3
1/15/2019 7:28,9.61,12.5,62,8.18,49.3
1/15/2019 6:58,8.92,11.11,54,7.73,49.3
1/15/2019 6:28,10.14,13.33,57,8.52,49.3
1/15/2019 5:58,10.14,11.76,64,8.41,49.3
1/15/2019 5:28,10.56,11.76,61,8.83,49.3
1/15/2019 4:58,9.35,11.76,59,8.49,49.3
1/15/2019 4:28,9.58,12.5,33,8.17,49.5
1/15/2019 3:58,9.74,11.11,49,8.15,49.3
1/15/2019 3:28,10.01,11.76,44,8.08,49.3
1/15/2019 2:58,10.14,11.76,51,8.02,49.1
1/15/2019 2:28,10.4,11.76,49,8.2,49.1
1/15/2019 1:58,10.27,12.5,65,8.1,48.9
1/15/2019 1:28,10.07,11.76,48,8.03,48.9
1/15/2019 0:58,9.74,12.5,54,7.58,48.9
1/15/2019 0:28,10.79,11.11,44,7.78,48.9
1/14/2019 23:58,10.33,11.76,41,7.84,48.9
1/14/2019 23:28,10.6,12.5,57,7.67,48.9
1/14/2019 22:58,9.94,11.76,52,7.62,49.1
1/14/2019 22:28,10.43,10.53,48,7.59,49.1
1/14/2019 21:58,10.33,11.11,31,7.65,48.9
1/14/2019 21:28,10.24,11.11,49,7.14,48.9
1/14/2019 20:58,10.86,10.53,45,7.18,48.9
1/14/2019 20:28,11.81,11.11,51,7.48,48.9
1/14/2019 19:58,11.55,9.88,44,7.36,48.9
1/14/2019 19:28,12.14,11.76,49,7.71,48.9
1/14/2019 18:58,11.32,11.11,49,7.05,48.9
1/14/2019 18:28,11.61,10.53,42,7.17,48.9
1/14/2019 17:58,11.61,11.11,38,7.21,48.9
1/14/2019 17:28,11.38,11.11,40,7.09,49.1
1/14/2019 16:58,12.3,11.11,49,7.4,48.9
1/14/2019 16:28,12.2,9.88,37,7.2,48.9
1/14/2019 15:58,11.68,9.88,47,6.8,48.9
1/14/2019 15:28,11.94,10.53,40,6.98,48.9
1/14/2019 14:58,10.83,9.88,38,6.62,48.9
1/14/2019 14:28,13.16,9.88,41,7.32,48.9
1/14/2019 13:58,11.98,11.11,42,6.67,48.9
1/14/2019 13:28,11.91,9.88,37,6.84,48.9
1/14/2019 12:58,12.5,9.09,42,6.9,48.9
1/14/2019 12:28,12.11,10.53,57,6.66,48.9
1/14/2019 11:58,12.34,9.88,34,6.69,48.9
1/14/2019 11:28,13.32,10.53,49,7.1,49.1
1/14/2019 10:58,13.42,10.53,49,6.92,49.1
1/14/2019 10:28,12.43,9.09,42,6.76,49.3
1/14/2019 9:58,13.85,9.09,40,7.03,49.3
1/14/2019 9:28,13.75,9.88,40,6.76,49.6
1/14/2019 8:58,14.4,9.09,41,6.97,49.6
1/14/2019 8:28,14.04,11.11,47,7.04,49.6
1/14/2019 7:58,13.25,9.88,48,6.79,49.6
1/14/2019 7:28,14.9,9.88,42,6.97,49.5
1/14/2019 6:58,14.44,9.88,37,6.88,49.3
1/14/2019 6:28,13.88,10.53,48,6.73,49.3
1/14/2019 5:58,13.78,9.88,28,6.64,49.3
1/14/2019 5:28,13.62,9.88,38,6.57,49.3
1/14/2019 4:58,13.71,9.88,45,6.57,48.9
1/14/2019 4:28,13.02,9.88,44,6.51,48.9
1/14/2019 3:58,12.3,9.09,40,6.39,48.9
1/14/2019 3:28,11.02,9.09,47,6.22,48.4
1/14/2019 2:58,10.86,9.09,47,6.42,48
1/14/2019 2:28,11.06,9.09,41,6.39,47.7
1/14/2019 1:58,9.71,9.09,42,5.96,47.8
1/14/2019 1:28,10.56,9.09,48,6.41,47.8
1/14/2019 0:58,10.93,8.33,55,6.71,47.8
1/14/2019 0:28,10.56,8.33,47,6.77,47.8
1/13/2019 23:58,9.35,8.33,55,6.61,47.8
1/13/2019 23:28,9.32,7.69,64,6.48,47.8
1/13/2019 22:58,8.43,7.69,58,6.35,47.8
1/13/2019 22:28,8.3,8.33,42,6.3,47.8
1/13/2019 21:58,7.41,8.33,38,6.11,47.8
1/13/2019 21:28,7.09,7.14,66,5.75,48
1/13/2019 20:58,7.84,7.69,65,5.87,48.2
1/13/2019 20:28,7.19,6.67,82,5.52,48.4
1/13/2019 19:58,7.55,7.14,68,5.59,48.6
1/13/2019 19:28,6.99,6.67,68,5.59,48.9
1/13/2019 18:58,7.19,6.67,87,5.42,48.9
1/13/2019 18:28,6.86,7.14,110,5.54,50.4
1/13/2019 17:58,5.97,6.67,113,5.22,50.2
1/13/2019 17:28,5.54,6.25,123,5.08,50.2
1/13/2019 16:58,5.68,6.25,118,4.87,50.2
1/13/2019 16:28,5.05,5.26,79,4.63,50.2
1/13/2019 15:58,5.18,5,61,4.46,50.2
1/13/2019 15:28,4.82,5,69,4.37,50.2
1/13/2019 14:58,4.72,5,65,4.36,50.2
1/13/2019 14:28,4.4,5.26,47,4.47,50.2
1/13/2019 13:58,4.56,5,49,4.42,50.2
1/13/2019 13:28,4.27,5,47,4.21,50.2
1/13/2019 12:58,4.46,5,45,4.27,50.2
1/13/2019 12:28,4.66,5,48,4.28,50.2
1/13/2019 11:58,4.53,5,44,4.21,50.2
1/13/2019 11:28,4.66,4.55,42,4.12,50.2
1/13/2019 10:58,4.33,4.76,52,4.22,50.2
1/13/2019 10:28,4.27,4.76,45,4.18,50.2
1/13/2019 9:58,4,5,42,4.16,50.2
1/13/2019 9:28,4,4.55,42,4.18,50.2
1/13/2019 8:58,4.04,5,42,4.14,50.2
1/13/2019 8:28,4,4.55,48,4.2,50.2
1/13/2019 7:58,3.64,4.35,37,4.12,50.2
1/13/2019 7:28,3.87,4.55,40,4.23,50.2
1/13/2019 6:58,4,4.55,41,4.11,50.2
1/13/2019 6:28,4.33,4.76,38,4.12,50.2
1/13/2019 5:58,4.1,4.55,35,4.08,50.2
1/13/2019 5:28,3.9,4.35,38,3.98,50.2
1/13/2019 4:58,3.84,4.76,41,4.04,50.2
1/13/2019 4:28,3.61,5.56,44,4.03,50.2
1/13/2019 3:58,3.48,5.56,38,4.02,50.2
1/13/2019 3:28,3.44,5.56,33,4.04,50.2
1/13/2019 2:58,3.51,5.88,37,3.96,50.2
1/13/2019 2:28,3.54,6.25,37,4.1,50.2
1/13/2019 1:58,3.41,5.56,34,4.09,50.2
1/13/2019 1:28,3.35,6.25,41,4.24,50.2
1/13/2019 0:58,3.41,5.88,38,4.32,50.2
1/13/2019 0:28,3.54,6.25,38,4.28,50.2
1/12/2019 23:58,3.28,6.25,42,4.16,50.2
1/12/2019 23:28,3.44,5.56,35,4.13,50.2
1/12/2019 22:58,3.44,5.88,37,4.34,50.2
1/12/2019 22:28,3.48,6.25,37,4.41,50.2
1/12/2019 21:58,3.54,6.25,47,4.31,50.2
1/12/2019 21:28,3.51,6.25,47,4.35,50.2
1/12/2019 20:58,3.41,6.67,42,4.24,50.2
1/12/2019 20:28,3.48,6.67,42,4.39,50.2
1/12/2019 19:58,3.28,6.67,40,4.38,50.2
1/12/2019 19:28,3.35,6.25,44,4.49,50.2
1/12/2019 18:58,3.44,5.88,38,4.65,50.2
1/12/2019 18:28,3.41,6.25,41,4.5,50.2
1/12/2019 17:58,3.61,6.67,41,4.87,50.2
1/12/2019 17:28,3.48,7.14,51,4.74,50.2
1/12/2019 16:58,3.58,6.67,42,4.85,50.2
1/12/2019 16:28,3.44,6.25,28,4.82,50.2
1/12/2019 15:58,3.41,6.25,19,4.79,50.2
1/12/2019 15:28,3.51,5.56,24,4.8,50.2
1/12/2019 14:58,3.64,6.67,38,4.85,50.2
1/12/2019 14:28,3.58,6.67,41,4.63,50.2
1/12/2019 13:58,3.81,5.88,34,4.79,50.2
1/12/2019 13:28,3.77,6.67,37,4.69,50
1/12/2019 12:58,3.77,6.67,35,4.69,49.8
1/12/2019 12:28,3.87,5.56,33,4.73,49.8
1/12/2019 11:58,4.27,7.14,38,5,49.8
1/12/2019 11:28,4.04,6.25,24,4.77,49.8
1/12/2019 10:58,4.04,5.88,21,4.68,49.8
1/12/2019 10:28,4.36,6.67,27,5,49.8
1/12/2019 9:58,4.27,6.67,26,4.87,49.3
1/12/2019 9:28,4.27,6.25,34,4.94,49.3
1/12/2019 8:58,4.33,7.14,24,5.1,49.3
1/12/2019 8:28,4.46,6.67,28,4.98,49.3
1/12/2019 7:58,4.3,6.67,28,4.82,49.3
1/12/2019 7:28,4.43,7.14,34,4.97,49.6
1/12/2019 6:58,4.46,6.67,23,4.66,49.6
1/12/2019 6:28,4.49,6.67,16,4.58,49.8
1/12/2019 5:58,4.3,5,12,4.53,49.6
1/12/2019 5:28,4.59,6.67,19,4.61,49.8
1/12/2019 4:58,4.4,6.67,26,4.43,49.8
1/12/2019 4:28,4.4,5.56,4,4.37,49.6
1/12/2019 3:58,4.27,6.67,23,4.46,49.8
1/12/2019 3:28,4.2,5.56,16,4.38,49.6
1/12/2019 2:58,4.46,4.55,0,4.45,49.6
1/12/2019 2:28,4.82,5.26,7,4.61,49.6
1/12/2019 1:58,4.4,5,2,4.54,49.8
1/12/2019 1:28,4.4,5.56,12,4.59,49.8
1/12/2019 0:58,4.56,5.88,19,4.6,49.8
1/12/2019 0:28,4.56,6.25,13,4.63,49.8
1/11/2019 23:58,4.66,6.67,21,4.6,50
1/11/2019 23:28,4.86,6.67,20,4.68,50.2
1/11/2019 22:58,4.92,6.67,21,4.6,50.2
1/11/2019 22:28,5.05,6.25,7,4.73,50.2
1/11/2019 21:58,5.31,7.14,14,4.93,50.2
1/11/2019 21:28,5.22,7.14,23,4.95,50.2
1/11/2019 20:58,4.82,7.14,21,4.87,50.4
1/11/2019 20:28,5.25,6.25,7,4.9,50.4
1/11/2019 19:58,4.92,6.25,359,4.78,50.4
1/11/2019 19:28,5.35,7.14,12,4.89,50.4
1/11/2019 18:58,4.92,6.67,355,4.68,50.4
1/11/2019 18:28,5.35,7.69,19,4.95,50.4
1/11/2019 17:58,5.31,6.25,357,4.86,50.4
1/11/2019 17:28,5.45,7.69,19,5.04,50.4
1/11/2019 16:58,5.51,7.69,10,4.91,50.4
1/11/2019 16:28,5.84,7.14,10,5.13,50.4
1/11/2019 15:58,5.51,7.69,21,5.08,50.2
1/11/2019 15:28,5.41,7.69,17,4.97,50.2
1/11/2019 14:58,5.38,7.69,21,5.15,50.2
1/11/2019 14:28,5.61,6.67,10,5.08,50.2
1/11/2019 13:58,5.87,6.25,7,5.17,50.2
1/11/2019 13:28,5.81,7.69,20,5.03,50.2
1/11/2019 12:58,6,6.25,3,5.09,50.2
1/11/2019 12:28,6,5.88,6,5.09,50.2
1/11/2019 11:58,5.91,6.67,9,5,50
1/11/2019 11:28,5.91,6.25,4,4.91,50.2
1/11/2019 10:58,6,7.14,17,5.01,50.2
1/11/2019 10:28,6.2,6.25,3,5.07,50
1/11/2019 9:58,6.3,6.25,355,5,50
1/11/2019 9:28,5.91,6.67,7,4.97,50
1/11/2019 8:58,6.1,6.67,350,5.05,50
1/11/2019 8:28,6.33,6.67,359,4.94,50
1/11/2019 7:58,6.69,6.67,355,4.99,50
1/11/2019 7:28,6.76,6.67,355,5,50
1/11/2019 6:58,6.82,6.67,359,5,50
1/11/2019 6:28,6.86,6.67,352,5.07,50
1/11/2019 5:58,7.25,6.67,356,5.13,50.2
1/11/2019 5:28,7.02,6.67,355,5.03,50.2
1/11/2019 4:58,7.05,6.67,356,5.1,50.2
1/11/2019 4:28,6.63,5.88,352,4.99,50.2
1/11/2019 3:58,6.43,6.67,357,5.04,50.2
1/11/2019 3:28,6.66,5.88,343,4.99,50.2
1/11/2019 2:58,6.82,5.88,352,5.04,50.2
1/11/2019 2:28,6.14,6.25,353,4.89,50.2
1/11/2019 1:58,6.33,6.25,357,4.95,50.2
1/11/2019 1:28,6.17,6.67,2,4.98,50.2
1/11/2019 0:58,5.87,5.56,348,4.81,50.2
1/11/2019 0:28,5.77,6.25,357,4.88,50.4
1/10/2019 23:58,5.81,5.88,349,4.73,50.4
1/10/2019 23:28,5.77,5.88,355,4.69,50.4
1/10/2019 22:58,5.38,6.25,356,4.66,50.4
1/10/2019 22:28,5.51,6.25,357,4.71,50.4
1/10/2019 21:58,5.61,5.88,353,4.69,50.4
1/10/2019 21:28,5.58,6.25,350,4.81,50.5
1/10/2019 20:58,5.91,5.88,348,4.75,50.5
1/10/2019 20:28,5.84,6.67,355,4.77,50.5
1/10/2019 19:58,5.97,6.67,353,4.85,50.7
1/10/2019 19:28,5.97,7.14,2,4.85,50.7
1/10/2019 18:58,5.91,6.25,348,4.82,50.7
1/10/2019 18:28,6.63,6.25,339,4.99,50.7
1/10/2019 17:58,6.69,6.67,348,5,50.7
1/10/2019 17:28,6.92,7.14,0,5.13,50.7
1/10/2019 16:58,7.25,6.67,348,5.19,50.7
1/10/2019 16:28,7.28,6.67,356,5.27,50.7
1/10/2019 15:58,7.25,6.67,348,5.13,50.7
1/10/2019 15:28,7.19,7.14,349,5.18,50.5
1/10/2019 14:58,7.32,6.67,350,5.11,50.7
1/10/2019 14:28,7.15,6.25,342,5.19,50.7
1/10/2019 13:58,7.78,6.25,343,5.28,50.7
1/10/2019 13:28,8.53,6.67,346,5.31,50.7
1/10/2019 12:58,8.07,7.14,350,5.3,50.7
1/10/2019 12:28,8.17,7.14,350,5.34,50.7
1/10/2019 11:58,7.55,7.14,353,5.21,50.7
1/10/2019 11:28,7.78,7.14,356,5.29,50.7
1/10/2019 10:58,7.91,7.69,0,5.37,50.7
1/10/2019 10:28,8.07,7.69,0,5.37,50.7
1/10/2019 9:58,8.3,7.69,2,5.47,50.7
1/10/2019 9:28,8.43,7.69,9,5.47,50.7
1/10/2019 8:58,8.07,7.14,2,5.37,50.7
1/10/2019 8:28,8.1,7.14,0,5.29,50.7
1/10/2019 7:58,7.58,6.67,353,5.1,50.7
1/10/2019 7:28,7.81,6.67,357,5.29,50.7
1/10/2019 6:58,7.78,6.67,355,5.12,50.7
1/10/2019 6:28,7.45,6.25,359,4.96,50.7
1/10/2019 5:58,7.71,6.67,355,5.11,50.7
1/10/2019 5:28,7.15,6.25,353,5.02,50.7
1/10/2019 4:58,7.19,5.88,345,4.88,50.7
1/10/2019 4:28,6.53,5.88,355,4.71,50.5
1/10/2019 3:58,6.27,5.88,356,4.51,50.5
1/10/2019 3:28,5.74,5.56,359,4.36,50.5
1/10/2019 2:58,5.31,5.26,359,4.22,50.5
1/10/2019 2:28,4.76,4.76,359,4,50.5
1/10/2019 1:58,4.2,5,10,3.85,50.4
1/10/2019 1:28,3.54,8.33,144,3.91,50.5
1/10/2019 0:58,3.28,5.88,27,4.52,50.5
1/10/2019 0:28,3.12,5.88,33,4.38,50.5
1/9/2019 23:58,3.54,5.26,12,4.45,50.5
1/9/2019 23:28,3.51,4.76,3,4.42,50.5
1/9/2019 22:58,3.31,5.56,24,4.25,50.5
1/9/2019 22:28,3.58,5,4,4.16,50.7
1/9/2019 21:58,3.54,4.55,357,4.11,50.7
1/9/2019 21:28,3.38,5,7,4.05,50.7
1/9/2019 20:58,3.54,4.55,356,4.07,50.7
1/9/2019 20:28,3.35,4.55,350,3.98,50.7
1/9/2019 19:58,3.44,4.55,353,3.93,50.7
1/9/2019 19:28,3.31,4.55,353,4.08,50.7
1/9/2019 18:58,3.28,4.55,348,4.1,50.7
1/9/2019 18:28,3.35,4.55,343,4.08,50.5
1/9/2019 17:58,3.15,4.55,346,4.05,50.5
1/9/2019 17:28,3.25,8.33,148,4.01,50.5
1/9/2019 16:58,3.44,7.69,149,4.23,50.4
1/9/2019 16:28,3.54,7.69,154,4.14,50.4
1/9/2019 15:58,3.77,7.69,162,4.2,50.4
1/9/2019 15:28,4.04,7.69,152,4.28,50.2
1/9/2019 14:58,3.81,6.67,159,4.1,50.2
1/9/2019 14:28,3.54,8.33,154,4.29,50.7
1/9/2019 13:58,3.48,7.69,152,4.23,50.7
1/9/2019 13:28,3.22,8.33,154,4.65,50.7
1/9/2019 12:58,3.15,6.67,159,4.61,50.7
1/9/2019 12:28,3.35,7.69,149,4.73,50.7
1/9/2019 11:58,3.54,7.69,156,4.92,50.7
1/9/2019 11:28,3.25,8.33,142,4.94,50.9
1/9/2019 10:58,3.58,6.67,155,5.02,50.9
1/9/2019 10:28,3.48,6.67,158,5.24,51.1
1/9/2019 9:58,3.67,7.14,148,5.13,51.1
1/9/2019 9:28,3.94,7.14,152,5.2,51.1
1/9/2019 8:58,4.1,7.69,145,5.17,51.1
1/9/2019 8:28,4,7.69,144,5.13,51.1
1/9/2019 7:58,4.2,6.67,156,5.14,50.9
1/9/2019 7:28,3.94,7.69,142,5.07,50.9
1/9/2019 6:58,4.27,7.69,147,5.25,50.9
1/9/2019 6:28,4.86,7.14,149,5.44,50.9
1/9/2019 5:58,4.66,7.14,148,5.29,50.9
1/9/2019 5:28,4.46,7.69,142,5.2,50.9
1/9/2019 4:58,4.56,6.67,149,5.34,51.1
1/9/2019 4:28,4.17,7.69,137,5.59,51.1
1/9/2019 3:58,4.1,6.67,145,5.68,51.1
1/9/2019 3:28,4.27,6.67,144,5.62,51.1
1/9/2019 2:58,3.94,7.14,145,5.64,51.1
1/9/2019 2:28,4.07,7.69,138,5.64,51.1
1/9/2019 1:58,4.56,7.69,138,5.91,51.1
1/9/2019 1:28,4.56,7.14,148,5.82,51.3
1/9/2019 0:58,4.63,7.14,149,5.67,51.3
1/9/2019 0:28,4.49,7.69,145,5.64,51.4
1/8/2019 23:58,4.72,6.67,152,5.52,51.4
1/8/2019 23:28,4.3,7.14,149,5.11,51.4
1/8/2019 22:58,4.23,7.14,149,5.15,51.4
1/8/2019 22:28,4.36,6.67,148,5.32,51.6
1/8/2019 21:58,4.36,7.14,142,5.49,51.6
1/8/2019 21:28,4.53,6.67,149,5.53,51.6
1/8/2019 20:58,4.33,7.14,142,5.7,51.8
1/8/2019 20:28,4.63,7.14,142,5.78,52
